Speaker Name,Speaker Title,Speaker Description
Amit Goyal,"Country Head, edX",Amit heads the India business for edX – world’s largest open-source free learning platform founded by MIT and Haarvard University. edX is not-for-profit organization with a mission to provide free online access to high quality education for everyone.
Alina Shkolnikov,"Global iCoach Program Manager, Hewlett Packard Enterprise",N/A
Abhinav Pathak,"Perpule, CEO",N/A
Varun Sivaram,Philip D. Reed Fellow for Science and Technology,"Varun Sivaram is the Philip D. Reed fellow for science and technology at the Council on Foreign Relations. He is also a professor at Georgetown University, a senior research scholar at Columbia University, and a member of the advisory boards for the Stanford University Institutes for Environment and Energy. Forbes named him one of the 30 under 30 in Law and Policy, Grist selected him as one of the top 50 leaders in sustainability, and Rise ranked him as one of the top 5 global thought leaders on solar energy. He is the author of the forthcoming book, Taming the Sun (MIT University Press, February 2018)."
Varsha Patra,"CEO & Co-Founder, Homegrown","Varsha Patra is the CEO & Co-founder of Homegrown. She comes from a marketing background spanning over a decade in both digital and traditional media, having worked in both India and Los Angeles. Her experience in marketing started out in a cloud-computing technology startup, continuing to build the Kraft-Foods (Cadbury India) account at Ogilvy Mumbai, and further continued to develop the brand and business strategy for a startup online video entertainment platform in Los Angeles. She holds a Master’s degree in marketing from the University of Southern California."
Tarun Jami,"Founder & Managing Partner, GreenJams Infrastructures LLP","Tarun is pioneering the use of agricultural produce as building materials in India, making farmers economically relevant to the construction industry. He recognises the impact of construction on climate change and the importance of farmers in its mitigation. As the Founder and Managing Partner of GreenJams Infrastructures LLP, Tarun manages product innovation and the commercial scale development of carbon-negative bio-aggregate building materials from hemp stalks in collaboration with CSIR-CBRI, Roorkee. He hopes to see these miracle walls adorning everyone’s homes in the days to come. Tarun is also pursuing a Ph.D. in Civil Engineering and holds degrees in Civil Engineering and Environmental Science."
Sneha Khanwalkar,Music Director,"Sneha Khanwalkar is an Indian music director who works in Bollywood. She is best known for her score for the film, Oye Lucky! Lucky Oye!, and also for Gangs of Wasseypur Part 1, Part 2; the latter earned her a nomination in Best Music Director category at the 58th Filmfare Awards."
Pulkit Garg,IAS Officer,"Pulkit Garg is a civil engineer by training and a civil servant by profession. Graduating from IIT Delhi in 2014, Garg went on to become one of the youngest individuals to clear the prestigious Civil Services Examination at 23. An IAS Officer of the Uttar Pradesh (UP) cadre, Pulkit has served as an Executive Magistrate of Bulandshahr district for a year, handling over 150 government departments ranging from development areas such as education, health, PDS (Public Distribution System), ICDS (Integrated Child Development Services) to regulatory bodies like mining, armaments and land for a population of 2 million residents. His field of special interest is urban development and unlocking the land’s potential as a tool for economic development. He is currently posted as Executive Magistrate in Baghpat District, Uttar Pradesh."
Pranav Kothari,"Vice President, Large Scale Education Programs",Pranav Kothari is the head of the Large Scale Education Programmes division at Educational Initiatives (EI). He leads EI’s work in student assessments and the implementation of their adaptive learning software (Mindspark) in vernacular languages in government and affordable private schools across India. He has spoken on various platforms advocating the need to leverage the twin levers of cutting-edge educational research and technology-based solutions to revolutionize how children in the K-12 space learn. Pranav is an alumnus of Georgia Institute of Technology and Harvard Business School and has previously worked with GTI Capital and Boston Consultancy Group.
Paresh Ghelani,Serial Entrepreneur,Serial Entrepreneur; Board member XPRIZE Foundation
Nitin Sisodia,"Founder & CEO, Sohum Innovation lab","National Awardee Nitin Sisodia is the Founder and CEO of Sohum Innovation Lab, a social enterprise working at developing solutions to improve health and income of people living in resource-poor settings. A 2010 Stanford India Biodesign fellow, Nitin was named one of the top 20 Indian innovators by MIT Tech review in 2013. He received NASSCOM ICT led Healthcare Innovation Award in 2016, Indian Merchant Chamber Inclusive Innovation Award in 2015 and the Sankalp India Award in 2016. He has received several grants including the Grand challenges Canada Star in Global Health, Center for Innovation in Global Health award, BIRAC Biotechnology Ignition Grant & Siemens grant for his research in developing an innovative hearing screening device for newborns. Nitin has a degree in Electrical Engineering from NIT Bhopal, and Industrial Design from NID Ahmedabad, India."
Nirupa Rao,Botanical Illustrator,"Nirupa Rao is a botanical illustrator based in Bangalore. Her illustrations are inspired by field visits into the wild, and are informed by close collaboration with botanists. In 2017, she was named a National Geographic Young Explorer, and received a grant to pursue her work. She has been published in Harper’s Bazaar India, and named in their list of Indian Women to be Proud of; in Chickpea, USA and Medicor (published by the Karolinksa Institutet, Sweden). Her first book, Pillars of Life, with 80 beautiful illustrations of trees native to the Western Ghats rainforests, has been published by the Nature Conservation Foundation and authored by botanists Divya Mudappa and Shankar Raman."
Leanne Chukoskie,Neuroscientist,"Director at the Power of NeuroGaming Center at Qualcomm Institute, Chukoskie is working to understand the human brain through gaming."
